date,year,month,month_num,country,visitors
2005-01-01,2005.0,Jan,1,Italy,229.0
2005-01-01,2005.0,Jan,1,Japan,592.0
2005-01-01,2005.0,Jan,1,Netherlands,376.0
2005-01-01,2005.0,Jan,1,Norway,1139.0
2005-01-01,2005.0,Jan,1,Other,1506.0
2005-01-01,2005.0,Jan,1,Spain,106.0
2005-01-01,2005.0,Jan,1,Sweden,1090.0
2005-01-01,2005.0,Jan,1,Switzerland,318.0
2005-01-01,2005.0,Jan,1,UK,3112.0
2005-01-01,2005.0,Jan,1,USA,2445.0
2005-02-01,2005.0,Feb,2,Canada,128.0
